what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1328318532475
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1328318532476
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1328318532477
started,bundle,com.atlassian.connector.eclipse.bamboo.core,3.0.0.v20110210,"com.atlassian.connector.eclipse.bamboo.core",1328318532477
started,bundle,com.atlassian.connector.eclipse.bamboo.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.bamboo.ui",1328318532477
started,bundle,com.atlassian.connector.eclipse.branding.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.branding.ui",1328318532477
started,bundle,com.atlassian.connector.eclipse.commons.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.commons.ui",1328318532477
started,bundle,com.atlassian.connector.eclipse.core,3.0.0.v20110210,"com.atlassian.connector.eclipse.core",1328318532477
started,bundle,com.atlassian.connector.eclipse.directclickthrough.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.directclickthrough.ui",1328318532477
started,bundle,com.atlassian.connector.eclipse.jira.core,3.0.0.v20110210,"com.atlassian.connector.eclipse.jira.core",1328318532477
started,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.jira.ui",1328318532477
started,bundle,com.atlassian.connector.eclipse.monitor.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.monitor.ui",1328318532477
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1328318532478
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1328318532478
started,bundle,de.loskutov.anyedit.AnyEditTools,2.4.0.201101292156,"de.loskutov.anyedit.AnyEditTools",1328318532478
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1328318532479
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1328318532479
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1328318532480
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1328318532480
